name,frequency,bench_type,num_cores,score
Intel Xeon E-2276M,"
2.8 GHz ",multi_core,"
2.8 GHz ",5319
Intel Core i7-5930K,"
3.5 GHz ",multi_core,"
3.5 GHz ",5318
AMD Ryzen 3 5300G,"
4.0 GHz ",multi_core,"
4.0 GHz ",5303
AMD Ryzen 5 4600HS,"
3.0 GHz ",multi_core,"
3.0 GHz ",5287
Intel Core i5-1230U,"
1.0 GHz ",multi_core,"
1.0 GHz ",5277
Intel Xeon E5-2640 v3,"
2.6 GHz ",multi_core,"
2.6 GHz ",5268
AMD Ryzen 7 PRO 4750U,"
1.7 GHz ",multi_core,"
1.7 GHz ",5205
Intel Core i7-1185G7,"
3.0 GHz ",multi_core,"
3.0 GHz ",5191
Intel Core i7-9700T,"
2.0 GHz ",multi_core,"
2.0 GHz ",5182
AMD Ryzen 5 2600X,"
3.6 GHz ",multi_core,"
3.6 GHz ",5178
Intel Xeon E5-1650 v3,"
3.5 GHz ",multi_core,"
3.5 GHz ",5168
AMD Ryzen 7 5700U,"
1.8 GHz ",multi_core,"
1.8 GHz ",5160
Intel Core i7-10850H,"
2.7 GHz ",multi_core,"
2.7 GHz ",5110
AMD Ryzen 5 4600H,"
3.0 GHz ",multi_core,"
3.0 GHz ",5075
Intel Core i7-7700K,"
4.2 GHz ",multi_core,"
4.2 GHz ",5067
Intel Core i7-9850H,"
2.6 GHz ",multi_core,"
2.6 GHz ",5047
Intel Core i5-11300H,"
3.1 GHz ",multi_core,"
3.1 GHz ",5041
Intel Core i5-9500,"
3.0 GHz ",multi_core,"
3.0 GHz ",5016
Intel Xeon Silver 4114,"
2.2 GHz ",multi_core,"
2.2 GHz ",5005
Intel Core i7-1250U,"
1.1 GHz ",multi_core,"
1.1 GHz ",4998
AMD Ryzen 7 1700,"
3.0 GHz ",multi_core,"
3.0 GHz ",4994
AMD Ryzen 3 3100,"
3.6 GHz ",multi_core,"
3.6 GHz ",4989
Intel Xeon E-2176M,"
2.7 GHz ",multi_core,"
2.7 GHz ",4965
Intel Core i5-8600,"
3.1 GHz ",multi_core,"
3.1 GHz ",4960
Intel Core i7-7740X,"
4.3 GHz ",multi_core,"
4.3 GHz ",4950
Intel Core i5-8500B,"
3.0 GHz ",multi_core,"
3.0 GHz ",4937
Intel Core i7-1165G7,"
2.8 GHz ",multi_core,"
2.8 GHz ",4911
Intel Xeon W-2125,"
4.0 GHz ",multi_core,"
4.0 GHz ",4893
Intel Core i7-9750H,"
2.6 GHz ",multi_core,"
2.6 GHz ",4891
Intel Core i7-8700T,"
2.4 GHz ",multi_core,"
2.4 GHz ",4872
AMD Ryzen 7 PRO 1700,"
3.0 GHz ",multi_core,"
3.0 GHz ",4870
Intel Core i3-1215U,"
1.2 GHz ",multi_core,"
1.2 GHz ",4870
AMD Ryzen 7 4700U,"
2.0 GHz ",multi_core,"
2.0 GHz ",4843
Intel Core i9-8950HK,"
2.9 GHz ",multi_core,"
2.9 GHz ",4831
Intel Core i7-6700K,"
4.0 GHz ",multi_core,"
4.0 GHz ",4820
Intel Xeon E5-2630 v3,"
2.4 GHz ",multi_core,"
2.4 GHz ",4813
Intel Core i5-8500,"
3.0 GHz ",multi_core,"
3.0 GHz ",4807
Intel Core i5-9400F,"
2.9 GHz ",multi_core,"
2.9 GHz ",4794
Intel Xeon D-1541,"
2.1 GHz ",multi_core,"
2.1 GHz ",4785
AMD Ryzen 5 2600,"
3.4 GHz ",multi_core,"
3.4 GHz ",4783
Intel Core i5-1145G7,"
2.6 GHz ",multi_core,"
2.6 GHz ",4777
Intel Core i7-1068NG7,"
2.3 GHz ",multi_core,"
2.3 GHz ",4751
AMD Ryzen 5 1600X,"
3.6 GHz ",multi_core,"
3.6 GHz ",4742
Intel Core i5-8400,"
2.8 GHz ",multi_core,"
2.8 GHz ",4720
Intel Xeon Silver 4110,"
2.1 GHz ",multi_core,"
2.1 GHz ",4715
AMD Ryzen 5 4600U,"
2.1 GHz ",multi_core,"
2.1 GHz ",4710
AMD Ryzen 5 5500U,"
2.1 GHz ",multi_core,"
2.1 GHz ",4676
Intel Core i5-9400,"
2.9 GHz ",multi_core,"
2.9 GHz ",4674
Intel Core i7-8850H,"
2.6 GHz ",multi_core,"
2.6 GHz ",4651
AMD Ryzen 5 PRO 4650U,"
2.1 GHz ",multi_core,"
2.1 GHz ",4648
Intel Core i7-5775C,"
3.3 GHz ",multi_core,"
3.3 GHz ",4618
Intel Core i5-1135G7,"
2.4 GHz ",multi_core,"
2.4 GHz ",4587
Intel Core i7-8750H,"
2.2 GHz ",multi_core,"
2.2 GHz ",4562
Intel Core i5-1038NG7,"
2.0 GHz ",multi_core,"
2.0 GHz ",4509
Intel Core i7-8569U,"
2.8 GHz ",multi_core,"
2.8 GHz ",4508
Intel Core i7-8809G,"
3.1 GHz ",multi_core,"
3.1 GHz ",4491
AMD Ryzen 5 1600,"
3.2 GHz ",multi_core,"
3.2 GHz ",4481
Intel Xeon E3-1285L v4,"
3.4 GHz ",multi_core,"
3.4 GHz ",4472
Intel Core i3-10100F,"
3.6 GHz ",multi_core,"
3.6 GHz ",4439
Intel Core i7-7700,"
3.6 GHz ",multi_core,"
3.6 GHz ",4438
Intel Xeon E5-2620 v4,"
2.1 GHz ",multi_core,"
2.1 GHz ",4408
Intel Core i7-4790K,"
4.0 GHz ",multi_core,"
4.0 GHz ",4402
Intel Xeon E3-1230 v6,"
3.5 GHz ",multi_core,"
3.5 GHz ",4392
Intel Xeon E5-2630L v3,"
1.8 GHz ",multi_core,"
1.8 GHz ",4358
Intel Xeon Silver 4108,"
1.8 GHz ",multi_core,"
1.8 GHz ",4351
Intel Xeon E5-2697 v2,"
2.7 GHz ",multi_core,"
2.7 GHz ",4281
Intel Xeon E3-1270 v5,"
3.6 GHz ",multi_core,"
3.6 GHz ",4262
Intel Xeon W-2123,"
3.6 GHz ",multi_core,"
3.6 GHz ",4253
Intel Core i3-8350K,"
4.0 GHz ",multi_core,"
4.0 GHz ",4232
Intel Xeon E3-1240 v6,"
3.7 GHz ",multi_core,"
3.7 GHz ",4232
Intel Core i5-9500T,"
2.2 GHz ",multi_core,"
2.2 GHz ",4193
Intel Core i7-7920HQ,"
3.1 GHz ",multi_core,"
3.1 GHz ",4178
Intel Core i3-10100,"
3.6 GHz ",multi_core,"
3.6 GHz ",4176
Intel Xeon E3-1535M v6,"
3.1 GHz ",multi_core,"
3.1 GHz ",4152
Intel Core i5-9300HF,"
2.4 GHz ",multi_core,"
2.4 GHz ",4137
Intel Core i5-7600K,"
3.8 GHz ",multi_core,"
3.8 GHz ",4126
Intel Xeon E3-1245 v5,"
3.5 GHz ",multi_core,"
3.5 GHz ",4126
Intel Xeon E5-1630 v4,"
3.7 GHz ",multi_core,"
3.7 GHz ",4106
Intel Core i3-1125G4,"
2.0 GHz ",multi_core,"
2.0 GHz ",4096
Intel Xeon E5-2690 v2,"
3.0 GHz ",multi_core,"
3.0 GHz ",4083
Intel Core i5-8257U,"
1.4 GHz ",multi_core,"
1.4 GHz ",4078
Intel Core i7-7820HK,"
2.9 GHz ",multi_core,"
2.9 GHz ",4075
Intel Core i7-8559U,"
2.7 GHz ",multi_core,"
2.7 GHz ",4072
Intel Core i7-6700,"
3.4 GHz ",multi_core,"
3.4 GHz ",4058
Intel Core i5-8259U,"
2.3 GHz ",multi_core,"
2.3 GHz ",4056
Intel Core i7-1260U,"
1.1 GHz ",multi_core,"
1.1 GHz ",4052
Intel Xeon E5-2637 v3,"
3.5 GHz ",multi_core,"
3.5 GHz ",4030
Intel Xeon E3-1276 v3,"
3.6 GHz ",multi_core,"
3.6 GHz ",4027
Intel Xeon E3-1240 v5,"
3.5 GHz ",multi_core,"
3.5 GHz ",4021
Intel Xeon E3-1230 v5,"
3.4 GHz ",multi_core,"
3.4 GHz ",4016
Intel Core i7-4770K,"
3.5 GHz ",multi_core,"
3.5 GHz ",4008
Intel Core i5-8500T,"
2.1 GHz ",multi_core,"
2.1 GHz ",4007
Intel Xeon E3-1545M v5,"
2.9 GHz ",multi_core,"
2.9 GHz ",3990
Intel Xeon E5-1630 v3,"
3.7 GHz ",multi_core,"
3.7 GHz ",3988
Intel Core i5-10300H,"
2.5 GHz ",multi_core,"
2.5 GHz ",3984
Intel Core i7-8705G,"
3.1 GHz ",multi_core,"
3.1 GHz ",3979
Intel Xeon E5-2696 v2,"
2.5 GHz ",multi_core,"
2.5 GHz ",3972
Intel Xeon E3-1271 v3,"
3.6 GHz ",multi_core,"
3.6 GHz ",3957
Intel Core i5-6600K,"
3.5 GHz ",multi_core,"
3.5 GHz ",3952
Intel Xeon E5-2667 v2,"
3.3 GHz ",multi_core,"
3.3 GHz ",3950
Intel Xeon E5-1680 v2,"
3.0 GHz ",multi_core,"
3.0 GHz ",3881
Intel Core i7-4771,"
3.5 GHz ",multi_core,"
3.5 GHz ",3873
Intel Xeon E3-1270 v3,"
3.5 GHz ",multi_core,"
3.5 GHz ",3866
Intel Xeon E3-1505M v6,"
3.0 GHz ",multi_core,"
3.0 GHz ",3866
Intel Core i5-8400T,"
1.7 GHz ",multi_core,"
1.7 GHz ",3864
Intel Core i3-10100T,"
3.0 GHz ",multi_core,"
3.0 GHz ",3829
Intel Xeon E5-2620 v3,"
2.4 GHz ",multi_core,"
2.4 GHz ",3824
Intel Xeon E3-1245 v3,"
3.4 GHz ",multi_core,"
3.4 GHz ",3814
Intel Core i7-6770HQ,"
2.6 GHz ",multi_core,"
2.6 GHz ",3808
Intel Core i7-4790,"
3.6 GHz ",multi_core,"
3.6 GHz ",3806
Intel Xeon E3-1241 v3,"
3.5 GHz ",multi_core,"
3.5 GHz ",3794
Intel Xeon E3-1231 v3,"
3.4 GHz ",multi_core,"
3.4 GHz ",3781
Intel Xeon E3-1246 v3,"
3.5 GHz ",multi_core,"
3.5 GHz ",3780
Intel Core i5-7600,"
3.5 GHz ",multi_core,"
3.5 GHz ",3751
Intel Xeon E5-2680 v2,"
2.8 GHz ",multi_core,"
2.8 GHz ",3748
Intel Xeon E5-1620 v3,"
3.5 GHz ",multi_core,"
3.5 GHz ",3711
Intel Xeon E3-1280 v3,"
3.6 GHz ",multi_core,"
3.6 GHz ",3702
Intel Core i7-4960HQ,"
2.6 GHz ",multi_core,"
2.6 GHz ",3701
Intel Xeon E3-1240 v3,"
3.4 GHz ",multi_core,"
3.4 GHz ",3698
Intel Core i5-8279U,"
2.4 GHz ",multi_core,"
2.4 GHz ",3693
Intel Core i7-4940MX,"
3.1 GHz ",multi_core,"
3.1 GHz ",3693
Intel Core i7-4770,"
3.4 GHz ",multi_core,"
3.4 GHz ",3690
Intel Core i5-8300H,"
2.3 GHz ",multi_core,"
2.3 GHz ",3670
Intel Xeon E3-1535M v5,"
2.9 GHz ",multi_core,"
2.9 GHz ",3667
Intel Xeon E3-1230 v3,"
3.3 GHz ",multi_core,"
3.3 GHz ",3657
Intel Core i7-6920HQ,"
2.9 GHz ",multi_core,"
2.9 GHz ",3656
Intel Xeon E5-2687W,"
3.1 GHz ",multi_core,"
3.1 GHz ",3654
Intel Core i7-4790S,"
3.2 GHz ",multi_core,"
3.2 GHz ",3653
Intel Xeon E3-1275 v3,"
3.5 GHz ",multi_core,"
3.5 GHz ",3645
Intel Core i3-8100B,"
3.6 GHz ",multi_core,"
3.6 GHz ",3624
Intel Core i3-9100F,"
3.6 GHz ",multi_core,"
3.6 GHz ",3620
Intel Core i5-9300H,"
2.4 GHz ",multi_core,"
2.4 GHz ",3614
AMD Ryzen 5 3400G,"
3.7 GHz ",multi_core,"
3.7 GHz ",3598
Intel Core i5-5675R,"
3.1 GHz ",multi_core,"
3.1 GHz ",3598
Intel Core i7-4980HQ,"
2.8 GHz ",multi_core,"
2.8 GHz ",3589
Intel Core i5-4690K,"
3.5 GHz ",multi_core,"
3.5 GHz ",3588
AMD Ryzen 5 1500X,"
3.5 GHz ",multi_core,"
3.5 GHz ",3581
Intel Core i7-6820HK,"
2.7 GHz ",multi_core,"
2.7 GHz ",3580
Intel Core i7-4770S,"
3.1 GHz ",multi_core,"
3.1 GHz ",3570
AMD Ryzen 3 5300U,"
2.6 GHz ",multi_core,"
2.6 GHz ",3569
Intel Core i7-1060NG7,"
1.2 GHz ",multi_core,"
1.2 GHz ",3563
Intel Core i7-7700HQ,"
2.8 GHz ",multi_core,"
2.8 GHz ",3547
Intel Xeon E5-1620 v4,"
3.5 GHz ",multi_core,"
3.5 GHz ",3544
Intel Xeon E3-1225 v6,"
3.3 GHz ",multi_core,"
3.3 GHz ",3520
Intel Core i7-7820HQ,"
2.9 GHz ",multi_core,"
2.9 GHz ",3516
Intel Core i7-6700T,"
2.8 GHz ",multi_core,"
2.8 GHz ",3510
Intel Xeon E3-1505M v5,"
2.8 GHz ",multi_core,"
2.8 GHz ",3507
Intel Core i5-6600,"
3.3 GHz ",multi_core,"
3.3 GHz ",3491
Intel Core i5-4670K,"
3.4 GHz ",multi_core,"
3.4 GHz ",3483
Intel Core i5-8400H,"
2.5 GHz ",multi_core,"
2.5 GHz ",3458
Intel Xeon E5-2670 v2,"
2.5 GHz ",multi_core,"
2.5 GHz ",3447
Intel Core i7-4870HQ,"
2.5 GHz ",multi_core,"
2.5 GHz ",3447
Intel Core i3-9100,"
3.6 GHz ",multi_core,"
3.6 GHz ",3432
Intel Core i5-7500,"
3.4 GHz ",multi_core,"
3.4 GHz ",3430
Intel Core i7-4930MX,"
3.0 GHz ",multi_core,"
3.0 GHz ",3430
Intel Core i7-7700T,"
2.9 GHz ",multi_core,"
2.9 GHz ",3418
Intel Core i7-6820HQ,"
2.7 GHz ",multi_core,"
2.7 GHz ",3398
Intel Core i5-7600T,"
2.8 GHz ",multi_core,"
2.8 GHz ",3397
AMD Ryzen 3 4300U,"
2.7 GHz ",multi_core,"
2.7 GHz ",3394
Intel Xeon E5-1660 v2,"
3.7 GHz ",multi_core,"
3.7 GHz ",3376
Intel Xeon E5-2623 v4,"
2.6 GHz ",multi_core,"
2.6 GHz ",3376
Intel Core i5-4690S,"
3.2 GHz ",multi_core,"
3.2 GHz ",3374
Intel Core i7-6700HQ,"
2.6 GHz ",multi_core,"
2.6 GHz ",3367
Intel Xeon E3-1220 v5,"
3.0 GHz ",multi_core,"
3.0 GHz ",3363
Intel Core i3-8100,"
3.6 GHz ",multi_core,"
3.6 GHz ",3352
Intel Core i7-4850HQ,"
2.3 GHz ",multi_core,"
2.3 GHz ",3344
Intel Xeon E3-1225 v5,"
3.3 GHz ",multi_core,"
3.3 GHz ",3335
Intel Xeon E3-1275L v3,"
2.7 GHz ",multi_core,"
2.7 GHz ",3331
Intel Core i5-5575R,"
2.8 GHz ",multi_core,"
2.8 GHz ",3319
Intel Xeon E5-2680,"
2.7 GHz ",multi_core,"
2.7 GHz ",3317
Intel Xeon E5-1650 v2,"
3.5 GHz ",multi_core,"
3.5 GHz ",3315
Intel Core i7-4930K,"
3.4 GHz ",multi_core,"
3.4 GHz ",3304
Intel Core i7-4960X,"
3.6 GHz ",multi_core,"
3.6 GHz ",3302
Intel Core i7-4910MQ,"
2.9 GHz ",multi_core,"
2.9 GHz ",3302
Intel Xeon E3-1265L v3,"
2.5 GHz ",multi_core,"
2.5 GHz ",3301
Intel Core i7-3960X,"
3.3 GHz ",multi_core,"
3.3 GHz ",3297
Intel Core i7-4790T,"
2.7 GHz ",multi_core,"
2.7 GHz ",3296
AMD Ryzen 5 2400G,"
3.6 GHz ",multi_core,"
3.6 GHz ",3284
Intel Xeon E3-1226 v3,"
3.3 GHz ",multi_core,"
3.3 GHz ",3272
Intel Xeon E5-2690,"
2.9 GHz ",multi_core,"
2.9 GHz ",3269
AMD Ryzen 3 2300X,"
3.5 GHz ",multi_core,"
3.5 GHz ",3265
Intel Core i5-4690,"
3.5 GHz ",multi_core,"
3.5 GHz ",3244
Intel Xeon E5-2650 v2,"
2.6 GHz ",multi_core,"
2.6 GHz ",3234
Intel Core i7-4770HQ,"
2.2 GHz ",multi_core,"
2.2 GHz ",3230
Intel Core i7-10510U,"
1.8 GHz ",multi_core,"
1.8 GHz ",3220
Intel Core i7-4750HQ,"
2.0 GHz ",multi_core,"
2.0 GHz ",3213
Intel Xeon E5-2667 v3,"
3.2 GHz ",multi_core,"
3.2 GHz ",3212
Intel Core i7-5700HQ,"
2.7 GHz ",multi_core,"
2.7 GHz ",3205
Intel Core i5-4670S,"
3.1 GHz ",multi_core,"
3.1 GHz ",3190
Intel Core i5-4670,"
3.4 GHz ",multi_core,"
3.4 GHz ",3189
Intel Xeon E3-1220 v6,"
3.0 GHz ",multi_core,"
3.0 GHz ",3176
Intel Core i5-6600T,"
2.7 GHz ",multi_core,"
2.7 GHz ",3170
Intel Core i5-7400,"
3.0 GHz ",multi_core,"
3.0 GHz ",3159
Intel Core i5-6500,"
3.2 GHz ",multi_core,"
3.2 GHz ",3158
Intel Core i3-9100T,"
3.1 GHz ",multi_core,"
3.1 GHz ",3152
AMD Ryzen 5 1400,"
3.2 GHz ",multi_core,"
3.2 GHz ",3143
Intel Core i7-3970X,"
3.5 GHz ",multi_core,"
3.5 GHz ",3137
Intel Xeon E3-1225 v3,"
3.2 GHz ",multi_core,"
3.2 GHz ",3120
Intel Core i7-4810MQ,"
2.8 GHz ",multi_core,"
2.8 GHz ",3118
AMD Ryzen 7 3750H,"
2.3 GHz ",multi_core,"
2.3 GHz ",3118
Intel Xeon E5-2660 v2,"
2.2 GHz ",multi_core,"
2.2 GHz ",3115
AMD Ryzen 3 1300X,"
3.5 GHz ",multi_core,"
3.5 GHz ",3107
Intel Core i7-4710MQ,"
2.5 GHz ",multi_core,"
2.5 GHz ",3101
Intel Core i5-4590,"
3.3 GHz ",multi_core,"
3.3 GHz ",3098
Intel Xeon E5-1660,"
3.3 GHz ",multi_core,"
3.3 GHz ",3082
Intel Core i7-4700HQ,"
2.4 GHz ",multi_core,"
2.4 GHz ",3073
Intel Core i5-7440HQ,"
2.8 GHz ",multi_core,"
2.8 GHz ",3072
Intel Xeon E5-2670,"
2.6 GHz ",multi_core,"
2.6 GHz ",3069
Intel Xeon E3-1220 v3,"
3.1 GHz ",multi_core,"
3.1 GHz ",3068
Intel Xeon E5-2665,"
2.4 GHz ",multi_core,"
2.4 GHz ",3068
Intel Core i5-7500T,"
2.7 GHz ",multi_core,"
2.7 GHz ",3055
Intel Core i5-10210U,"
1.6 GHz ",multi_core,"
1.6 GHz ",3037
Intel Xeon E5-1607 v4,"
3.1 GHz ",multi_core,"
3.1 GHz ",3016
Intel Core i7-4785T,"
2.2 GHz ",multi_core,"
2.2 GHz ",3006
Intel Core i7-3930K,"
3.2 GHz ",multi_core,"
3.2 GHz ",2999
Intel Core i5-6402P,"
2.8 GHz ",multi_core,"
2.8 GHz ",2997
Intel Core i5-4570,"
3.2 GHz ",multi_core,"
3.2 GHz ",2994
Intel Core i7-4770T,"
2.5 GHz ",multi_core,"
2.5 GHz ",2992
Intel Core i7-4900MQ,"
2.8 GHz ",multi_core,"
2.8 GHz ",2989
AMD Ryzen 3 PRO 1300,"
3.5 GHz ",multi_core,"
3.5 GHz ",2987
Intel Core i5-6400,"
2.7 GHz ",multi_core,"
2.7 GHz ",2985
Intel Core i7-4720HQ,"
2.6 GHz ",multi_core,"
2.6 GHz ",2978
Intel Core i3-1115G4,"
3.0 GHz ",multi_core,"
3.0 GHz ",2975
AMD Ryzen 3 3200G,"
3.6 GHz ",multi_core,"
3.6 GHz ",2969
Intel Core i3-8100T,"
3.1 GHz ",multi_core,"
3.1 GHz ",2968
Intel Xeon E5-1650,"
3.2 GHz ",multi_core,"
3.2 GHz ",2961
Intel Core i7-4700MQ,"
2.4 GHz ",multi_core,"
2.4 GHz ",2946
Intel Xeon E5-2470 v2,"
2.4 GHz ",multi_core,"
2.4 GHz ",2946
Intel Core i5-4590S,"
3.0 GHz ",multi_core,"
3.0 GHz ",2911
Intel Core i5-4460,"
3.2 GHz ",multi_core,"
3.2 GHz ",2896
Intel Core i7-4702HQ,"
2.2 GHz ",multi_core,"
2.2 GHz ",2882
Intel Core i5-7300HQ,"
2.5 GHz ",multi_core,"
2.5 GHz ",2865
Intel Core i7-4710HQ,"
2.5 GHz ",multi_core,"
2.5 GHz ",2857
Intel Core i7-4765T,"
2.0 GHz ",multi_core,"
2.0 GHz ",2855
Intel Core i5-4570S,"
2.9 GHz ",multi_core,"
2.9 GHz ",2852
Intel Core i7-4800MQ,"
2.7 GHz ",multi_core,"
2.7 GHz ",2843
AMD Ryzen 3 2200G,"
3.5 GHz ",multi_core,"
3.5 GHz ",2840
AMD Ryzen 5 3550H,"
2.1 GHz ",multi_core,"
2.1 GHz ",2837
Intel Core i5-4440,"
3.1 GHz ",multi_core,"
3.1 GHz ",2833
Intel Core i5-1030NG7,"
1.1 GHz ",multi_core,"
1.1 GHz ",2816
Intel Core i7-4702MQ,"
2.2 GHz ",multi_core,"
2.2 GHz ",2802
Intel Core i4-4690T,"
2.5 GHz ",multi_core,"
2.5 GHz ",2800
Intel Core i5-4670T,"
2.3 GHz ",multi_core,"
2.3 GHz ",2794
Intel Core i5-7400T,"
2.4 GHz ",multi_core,"
2.4 GHz ",2788
AMD Ryzen 3 1200,"
3.1 GHz ",multi_core,"
3.1 GHz ",2773
Intel Core i5-4430,"
3.0 GHz ",multi_core,"
3.0 GHz ",2752
Intel Core i5-6500T,"
2.5 GHz ",multi_core,"
2.5 GHz ",2752
Intel Core i5-4460S,"
2.9 GHz ",multi_core,"
2.9 GHz ",2735
Intel Xeon E5-2660,"
2.2 GHz ",multi_core,"
2.2 GHz ",2729
Intel Core i5-6440HQ,"
2.6 GHz ",multi_core,"
2.6 GHz ",2693
Intel Xeon W3690,"
3.5 GHz ",multi_core,"
3.5 GHz ",2692
Intel Core i5-6300HQ,"
2.3 GHz ",multi_core,"
2.3 GHz ",2683
AMD Ryzen 5 PRO 3500U,"
2.1 GHz ",multi_core,"
2.1 GHz ",2676
Intel Core i5-4430S,"
2.7 GHz ",multi_core,"
2.7 GHz ",2662
AMD Ryzen 5 3580U Microsoft Surface Edition,"
2.1 GHz ",multi_core,"
2.1 GHz ",2654
Intel Core i7-7567U,"
3.5 GHz ",multi_core,"
3.5 GHz ",2632
Intel Core i7-990X,"
3.5 GHz ",multi_core,"
3.5 GHz ",2629
Intel Xeon W3680,"
3.3 GHz ",multi_core,"
3.3 GHz ",2621
Intel Xeon X5690,"
3.5 GHz ",multi_core,"
3.5 GHz ",2587
Intel Core i5-4570R,"
2.7 GHz ",multi_core,"
2.7 GHz ",2549
AMD Ryzen 7 3700U,"
2.3 GHz ",multi_core,"
2.3 GHz ",2545
Intel Core i7-4712HQ,"
2.3 GHz ",multi_core,"
2.3 GHz ",2537
Intel Core i7-980X,"
3.3 GHz ",multi_core,"
3.3 GHz ",2523
Intel Core i3-6320,"
3.9 GHz ",multi_core,"
3.9 GHz ",2522
Intel Core i5-6400T,"
2.2 GHz ",multi_core,"
2.2 GHz ",2513
Intel Core i7-4712MQ,"
2.3 GHz ",multi_core,"
2.3 GHz ",2510
Intel Core i5-4590T,"
2.0 GHz ",multi_core,"
2.0 GHz ",2484
Intel Xeon E5-2640 v2,"
2.0 GHz ",multi_core,"
2.0 GHz ",2483
Intel Xeon X5680,"
3.3 GHz ",multi_core,"
3.3 GHz ",2477
Intel Core i3-4370,"
3.8 GHz ",multi_core,"
3.8 GHz ",2477
AMD Ryzen 7 PRO 3700U,"
2.3 GHz ",multi_core,"
2.3 GHz ",2465
AMD Ryzen 7 3780U Microsoft Surface Edition,"
2.3 GHz ",multi_core,"
2.3 GHz ",2461
AMD Ryzen 5 PRO 2500U,"
2.0 GHz ",multi_core,"
2.0 GHz ",2459
Intel Xeon E5-2630 v2,"
2.6 GHz ",multi_core,"
2.6 GHz ",2458
Intel Core i7-3770K,"
3.5 GHz ",multi_core,"
3.5 GHz ",2423
AMD Ryzen 5 3500U,"
2.1 GHz ",multi_core,"
2.1 GHz ",2407
Intel Core i3-7100,"
3.9 GHz ",multi_core,"
3.9 GHz ",2371
Intel Xeon E3-1280 V2,"
3.6 GHz ",multi_core,"
3.6 GHz ",2367
AMD Ryzen 7 2700U,"
2.2 GHz ",multi_core,"
2.2 GHz ",2361
Intel Core i3-8109U,"
3.0 GHz ",multi_core,"
3.0 GHz ",2350
Intel Xeon E3-1270 V2,"
3.5 GHz ",multi_core,"
3.5 GHz ",2342
Intel Core i7-3820,"
3.6 GHz ",multi_core,"
3.6 GHz ",2338
Intel Core i7-970,"
3.2 GHz ",multi_core,"
3.2 GHz ",2334
Intel Xeon E5-1620 v2,"
3.7 GHz ",multi_core,"
3.7 GHz ",2331
Intel Core i5-7360U,"
2.3 GHz ",multi_core,"
2.3 GHz ",2327
Intel Core i3-1005G1,"
1.2 GHz ",multi_core,"
1.2 GHz ",2322
Intel Xeon X5675,"
3.1 GHz ",multi_core,"
3.1 GHz ",2321
Intel Xeon E3-1245 V2,"
3.4 GHz ",multi_core,"
3.4 GHz ",2320
AMD Ryzen 5 2500U,"
2.0 GHz ",multi_core,"
2.0 GHz ",2317
Intel Core i3-6300T,"
3.3 GHz ",multi_core,"
3.3 GHz ",2310
Intel Core i7-2600K,"
3.4 GHz ",multi_core,"
3.4 GHz ",2308
Intel Core i7-2700K,"
3.5 GHz ",multi_core,"
3.5 GHz ",2306
Intel Core i7-4820K,"
3.7 GHz ",multi_core,"
3.7 GHz ",2305
Intel Xeon E3-1275 v2,"
3.5 GHz ",multi_core,"
3.5 GHz ",2297
Intel Xeon X5670,"
2.9 GHz ",multi_core,"
2.9 GHz ",2294
Intel Core i5-7260U,"
2.2 GHz ",multi_core,"
2.2 GHz ",2291
Intel Core i7-3770,"
3.4 GHz ",multi_core,"
3.4 GHz ",2285
Intel Core i3-4360,"
3.7 GHz ",multi_core,"
3.7 GHz ",2285
Intel Xeon E3-1240 v2,"
3.4 GHz ",multi_core,"
3.4 GHz ",2283
Intel Core i3-6100,"
3.7 GHz ",multi_core,"
3.7 GHz ",2283
Intel Xeon E5-1620,"
3.6 GHz ",multi_core,"
3.6 GHz ",2267
Intel Core i7-7660U,"
2.5 GHz ",multi_core,"
2.5 GHz ",2267
Intel Xeon E5-2640,"
2.5 GHz ",multi_core,"
2.5 GHz ",2265
Intel Xeon X5660,"
2.8 GHz ",multi_core,"
2.8 GHz ",2261
Intel Core i3-8121U,"
2.2 GHz ",multi_core,"
2.2 GHz ",2256
AMD Ryzen 7 PRO 2700U,"
2.2 GHz ",multi_core,"
2.2 GHz ",2244
Intel Core i3-6098P,"
3.6 GHz ",multi_core,"
3.6 GHz ",2224
Intel Core i3-7100T,"
3.4 GHz ",multi_core,"
3.4 GHz ",2222
Intel Core i7-3770S,"
3.1 GHz ",multi_core,"
3.1 GHz ",2220
Intel Xeon X5650,"
2.7 GHz ",multi_core,"
2.7 GHz ",2218
Intel Core i7-7560U,"
2.4 GHz ",multi_core,"
2.4 GHz ",2209
Intel Xeon E5-2420 v2,"
2.2 GHz ",multi_core,"
2.2 GHz ",2196
AMD FX-9590,"
4.7 GHz ",multi_core,"
4.7 GHz ",2156
Intel Core i7-3840QM,"
2.8 GHz ",multi_core,"
2.8 GHz ",2150
Intel Xeon E3-1230V2,"
3.3 GHz ",multi_core,"
3.3 GHz ",2126
Intel Xeon E3-1240,"
3.3 GHz ",multi_core,"
3.3 GHz ",2115
AMD FX-9370,"
4.4 GHz ",multi_core,"
4.4 GHz ",2111
Intel Xeon E3-1270,"
3.4 GHz ",multi_core,"
3.4 GHz ",2101
Intel Core i3-4330,"
3.5 GHz ",multi_core,"
3.5 GHz ",2091
Intel Core i5-4460T,"
1.9 GHz ",multi_core,"
1.9 GHz ",2086
Intel Core i3-10110U,"
2.1 GHz ",multi_core,"
2.1 GHz ",2085
